DriverId,raceName,raceAddress,Stint_Compound_1,Stint_Laps_1,Stint_Compound_2,Stint_Laps_2,Stint_Compound_3,Stint_Laps_3,Stint_Compound_4,Stint_Laps_4,Stint_Compound_5,Stint_Laps_5,Stint_Compound_6,Stint_Laps_6,positionStart,positionFinish,raceLength,raceTurns,raceLaps,raceCondition,Year
hamilton,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Super soft,10,Soft,21,Soft,24,,,,,,,2,1,5.554 km,21,55,Dry,2014
massa,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Super soft,13,Soft,30,Super soft,12,,,,,,,4,2,5.554 km,21,55,Dry,2014
bottas,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Super soft,10,Soft,25,Soft,20,,,,,,,3,3,5.554 km,21,55,Dry,2014
ricciardo,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Soft,27,Soft,20,Super soft,8,,,,,,,20,4,5.554 km,21,55,Dry,2014
button,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Super soft,6,Soft,22,Soft,27,,,,,,,6,5,5.554 km,21,55,Dry,2014
Nico Hulkenberg,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Soft,15,Soft,22,Super soft,18,,,,,,,12,6,5.554 km,21,55,Dry,2014
Sergio Perez,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Soft,14,Soft,27,Super soft,14,,,,,,,11,7,5.554 km,21,55,Dry,2014
vettel,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Soft,21,Soft,25,Super soft,9,,,,,,,19,8,5.554 km,21,55,Dry,2014
alonso,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Super soft,5,Soft,22,Soft,28,,,,,,,8,9,5.554 km,21,55,Dry,2014
Kimi Raikkonen,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Super soft,6,Soft,20,Soft,29,,,,,,,7,10,5.554 km,21,55,Dry,2014
